"objectIdFieldName","uniqueIdField__name","uniqueIdField__isSystemMaintained","globalIdFieldName","geometryType","spatialReference__wkid","spatialReference__latestWkid","transform__originPosition","transform__scale","transform__translate","fields__name","fields__type","fields__alias","fields__sqlType","fields__length","fields__domain","fields__defaultValue","exceededTransferLimit","features__attributes__OBJECTID","features__attributes__PID","features__attributes__Prop_Addr","features__attributes__Prop_Num","features__attributes__Prop_Dir","features__attributes__PropStreet","features__attributes__Prop_Zip","features__attributes__OwnerName","features__attributes__OwnerAddr","features__attributes__OwnerCity","features__attributes__OwnerState","features__attributes__OwnerZip","features__attributes__TaxPName","features__attributes__TaxPAddres","features__attributes__TaxPCity","features__attributes__TaxPState","features__attributes__TaxPZip","features__attributes__Homestead","features__attributes__TaxExempt","features__attributes__SEV","features__attributes__Zoning_Dis","features__attributes__WARDx","features__attributes__PRECINCTx","features__attributes__TAXSTATx","features__attributes__Land_Usex","features__attributes__ECF","features__attributes__OwnerCode","features__attributes__Class","features__attributes__ParcelTxt","features__attributes__PIDdash","features__attributes__HCond2014","features__attributes__CCond2013","features__attributes__HCond2012","features__attributes__DPVACT","features__attributes__DPVNOST","features__attributes__CenTract","features__attributes__CenBlock","features__attributes__lowmod_pct","features__attributes__MP_Landuse","features__attributes__DRAFT_Zone"
"","","","","","","","","","","","","","","","","","","255","4636451016","WESLEY ST","0"," ","WESLEY ST","48505","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","3","15","CITY MISC","Public","000","City Owned","RW","4636451016","46-36-451-016"," "," "," "," "," ","000800","2","0.8"," "," "
"","","","","","","","","","","","","","","","","","","256","4024352009","VAN SLYKE RD","0"," ","VAN SLYKE RD","48507","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","8"," ","CITY MISC","Public","000","City Owned","RW","4024352009","40-24-352-009"," "," "," "," "," ","013500","2","0.779"," ","MR-1"
"","","","","","","","","","","","","","","","","","","257","4625451005","E PIERSON RD","0","E","PIERSON RD","48505","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","1","4","CITY MISC","Public","000","City Owned","RW","4625451005","46-25-451-005"," "," "," "," "," ","000400","3","0.7103","Green Innovation"," "
"","","","","","","","","","","","","","","","","","","258","4625226034","E YORK AVE","0","E","YORK AVE","48505","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","1"," ","CITY MISC","Public","000","City Owned","RW","4625226034","46-25-226-034"," "," "," "," "," ","000200","2","0.7647"," "," "
"","","","","","","","","","","","","","","","","","","259","4733104064","PLAINFIELD AVE","0"," ","PLAINFIELD AVE","48506","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","4"," ","CITY MISC","Public","000","City Owned","RW","4733104064","47-33-104-064"," "," "," "," "," ","001900","3","0.6471"," "," "
"","","","","","","","","","","","","","","","","","","260","4116228045","WHITINGHAM DR","0"," ","WHITINGHAM DR","48503","MICH STATE HWY COMM","WHITINGHAM DR","FLINT","MI","48503","MICH STATE HWY COMM","WHITINGHAM DR","FLINT","MI","48503","0","1","0","A-2","7","47","STATE ROAD","Public","000","State Owned","RW","4116228045","41-16-228-045"," "," "," "," "," ","003100","2","0.6652","Traditional Neighborhood","TN-2"
"","","","","","","","","","","","","","","","","","","261","4625351030","WOODBINE DR","0"," ","WOODBINE DR","48505","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","1","4","CITY MISC","Public","000","City Owned","RW","4625351030","46-25-351-030"," "," "," "," "," ","000400","1","0.6173"," "," "
"","","","","","","","","","","","","","","","","","","262","4625127002","M L KING AVE","0"," ","M L KING AVE","48505","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","1","3","CITY MISC","Public","000","City Owned","RW","4625127002","46-25-127-002"," "," "," "," "," ","000200","2","0.7647"," "," "
"","","","","","","","","","","","","","","","","","","263","4023303025","S BALLENGER HWY","0","S","BALLENGER HWY","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","8"," ","CITY MISC","Public","000","City Owned","RW","4023303025","40-23-303-025"," "," "," "," "," ","003600","5","0.4691"," "," "
"","","","","","","","","","","","","","","","","","","264","4625376002","M L KING AVE","0"," ","M L KING AVE","48505","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","1","4","CITY MISC","Public","000","City Owned","RW","4625376002","46-25-376-002"," "," "," "," "," ","000400","1","0.6173"," "," "
"","","","","","","","","","","","","","","","","","","265","4636452013","ALEXANDER ST","0"," ","ALEXANDER ST","48505","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","B","3","15","CITY MISC","Public","000","City Owned","RW","4636452013","46-36-452-013"," "," "," "," "," ","000800","2","0.8"," "," "
"","","","","","","","","","","","","","","","","","","266","4730476008","PREMIER ST","0"," ","PREMIER ST","48505","MICH STATE HWY COMM","PREMIER ST","FLINT","MI","48505","MICH STATE HWY COMM","PREMIER ST","FLINT","MI","48505","0","1","0","ROW","3"," ","STATE ROAD","Public","000","State Owned","RW","4730476008","47-30-476-008"," "," "," "," "," ","001700","2","0.8808","Green Innovation","GI"
"","","","","","","","","","","","","","","","","","","267","4013151003","N CHEVROLET AVE","0","N","CHEVROLET AVE","48504","KETTERING UNIVERSITY","N CHEVROLET AVE","FLINT","MI","48504","KETTERING UNIVERSITY","N CHEVROLET AVE","FLINT","MI","48504","0","1","0","ROW","6"," ","CITY STREE","Public","000","Privately Owned","RW","4013151003","40-13-151-003"," "," "," "," "," ","001600","3","0.5079"," "," "
"","","","","","","","","","","","","","","","","","","268","4117131027","LINWOOD AVE","0"," ","LINWOOD AVE","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4117131027","41-17-131-027"," "," "," "," "," ","003000","3","0.2"," ","TN-2"
"","","","","","","","","","","","","","","","","","","269","4023305059","HAWTHORNE DR","0"," ","HAWTHORNE DR","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","8"," ","CITY MISC","Public","000","City Owned","RW","4023305059","40-23-305-059"," "," "," "," "," ","003600","6","0.0575"," "," "
"","","","","","","","","","","","","","","","","","","270","4023302032","S BALLENGER HWY","0","S","BALLENGER HWY","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","8"," ","CITY MISC","Public","000","City Owned","RW","4023302032","40-23-302-032"," "," "," "," "," ","003600","5","0.4691"," "," "
"","","","","","","","","","","","","","","","","","","271","4730463019","FAIRFAX ST","0"," ","FAIRFAX ST","48505","MICH STATE HWY COMM","FAIRFAX ST","FLINT","MI","48505","MICH STATE HWY COMM","FAIRFAX ST","FLINT","MI","48505","0","1","0","A-2","3","13","STATE ROAD","Public","135","State Owned","RW","4730463019","47-30-463-019"," "," "," "," "," ","001700","2","0.8808","Green Innovation","GI"
"","","","","","","","","","","","","","","","","","","272","4001401001","M L KING AVE","0"," ","M L KING AVE","48505","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","5"," ","CITY MISC","Public","000","City Owned","RW","4001401001","40-01-401-001"," "," "," "," "," ","001000","2","0.3415"," "," "
"","","","","","","","","","","","","","","","","","","273","4732302039","E STEWART AVE","0","E","STEWART AVE","48505","MICH STATE HWY COMM","E STEWART AVE","FLINT","MI","48505","MICH STATE HWY COMM","E STEWART AVE","FLINT","MI","48505","0","1","0","ROW","3"," ","STATE ROAD","Public","000","State Owned","RW","4732302039","47-32-302-039"," "," "," "," "," ","980100","1","0"," "," "
"","","","","","","","","","","","","","","","","","","274","4635460030","PROCTOR AVE","0"," ","PROCTOR AVE","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","2","10","CITY MISC","Public","000","City Owned","RW","4635460030","46-35-460-030"," "," "," "," "," ","000700","3","0.766"," ","GN-1"
"","","","","","","","","","","","","","","","","","","275","4730259015","SELBY ST","0"," ","SELBY ST","48505","MICHIGAN DEPT OF TRANSPORTATION","SELBY ST","FLINT","MI","48505","MICHIGAN DEPT OF TRANSPORTATION","SELBY ST","FLINT","MI","48505","0","1","0","ROW","3","13","STATE ROAD","Public","000","State Owned","RW","4730259015","47-30-259-015"," "," "," "," "," ","001700","2","0.8808"," "," "
"","","","","","","","","","","","","","","","","","","276","4730407024","SELBY ST","0"," ","SELBY ST","48505","MICHIGAN DEPT OF TRANSPORTATION","P O BOX 30050","LANSING","MI","48909","MICHIGAN DEPT OF TRANSPORTATION","P O BOX 30050","LANSING","MI","48909","0","1","0","ROW","3","13","STATE ROAD","Public","000","Privately Owned","RW","4730407024","47-30-407-024"," "," "," "," "," ","001700","2","0.8808"," "," "
"","","","","","","","","","","","","","","","","","","277","4636101001","W PIERSON RD","0","W","PIERSON RD","48505","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","1"," ","CITY MISC","Public","000","City Owned","RW","4636101001","46-36-101-001"," "," "," "," "," ","000600","1","0.374"," "," "
"","","","","","","","","","","","","","","","","","","278","4105278008","WESTERN RD","0"," ","WESTERN RD","48506","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","4","21","CITY STREE","Public","000","City Owned","RW","4105278008","41-05-278-008"," "," "," "," "," ","002700","1","0.7558"," "," "
"","","","","","","","","","","","","","","","","","","279","4118279014","LAPEER ST","0"," ","LAPEER ST","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4118279014","41-18-279-014"," "," "," "," "," ","002900","2","0.6596"," "," "
"","","","","","","","","","","","","","","","","","","280","4001310033","W HAMILTON AVE","0","W","HAMILTON AVE","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","5"," ","CITY MISC","Public","000","City Owned","RW","4001310033","40-01-310-033"," "," "," "," "," ","001000","3","0.3333"," "," "
"","","","","","","","","","","","","","","","","","","281","4106426031","I-475 EXPRESSWAY","0"," ","I-475 EXPRESSWAY","48505","MICHIGAN DEPT OF TRANSPORTATION","I-475 EXPRESSWAY","FLINT","MI","48505","MICHIGAN DEPT OF TRANSPORTATION","I-475 EXPRESSWAY","FLINT","MI","48505","0","1","0","F","3"," ","STATE ROAD","Public","000","State Owned","RW","4106426031","41-06-426-031"," "," "," "," "," ","980100","1","0"," "," "
"","","","","","","","","","","","","","","","","","","282","4118484036","FIFTEENTH ST","0"," ","FIFTEENTH ST","48503","MICH STATE HWY COMM","FIFTEENTH ST","FLINT","MI","48503","MICH STATE HWY COMM","FIFTEENTH ST","FLINT","MI","48503","0","1","0","ROW","9"," ","STATE ROAD","Public","000","State Owned","RW","4118484036","41-18-484-036"," "," "," "," "," ","003200","4","0.5593"," "," "
"","","","","","","","","","","","","","","","","","","283","4024485030","FENTON RD","0"," ","FENTON RD","48507","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","8"," ","CITY MISC","Public","000","City Owned","RW","4024485030","40-24-485-030"," "," "," "," "," ","013500","1","0.2388"," "," "
"","","","","","","","","","","","","","","","","","","284","4118209057","AVON ST","0"," ","AVON ST","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4118209057","41-18-209-057"," "," "," "," "," ","002900","2","0.6596"," "," "
"","","","","","","","","","","","","","","","","","","285","4023155028","S BALLENGER HWY","0","S","BALLENGER HWY","48532","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","8"," ","CITY MISC","Public","000","City Owned","RW","4023155028","40-23-155-028"," "," "," "," "," ","003600","4","0.4563"," "," "
"","","","","","","","","","","","","","","","","","","286","4023106025","S BALLENGER HWY","0","S","BALLENGER HWY","48532","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","8"," ","CITY MISC","Public","000","City Owned","RW","4023106025","40-23-106-025"," "," "," "," "," ","003600","3","0.6711"," "," "
"","","","","","","","","","","","","","","","","","","287","4104154004","N DORT HWY","0","N","DORT HWY","48506","MICH STATE HWY COMM","N DORT HWY","FLINT","MI","48506","MICH STATE HWY COMM","N DORT HWY","FLINT","MI","48506","0","1","0","ROW","4"," ","STATE ROAD","Public","000","State Owned","RW","4104154004","41-04-154-004"," "," "," "," "," ","002300","2","0.608"," "," "
"","","","","","","","","","","","","","","","","","","288","4013276003","S GRAND TRAVERSE","0","S","GRAND TRAVERSE","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","5"," ","CITY MISC","Public","000","City Owned","RW","4013276003","40-13-276-003"," "," "," "," "," ","002800","2","0.5954"," "," "
"","","","","","","","","","","","","","","","","","","289","4104227044","N CENTER RD","0","N","CENTER RD","48506","BOARD OF COUNTY ROAD","N CENTER RD","FLINT","MI","48506","BOARD OF COUNTY ROAD","N CENTER RD","FLINT","MI","48506","0","1","0","ROW","4"," ","COUNTY","Public","000","Privately Owned","RW","4104227044","41-04-227-044"," "," "," "," "," ","002400","3","0.4326"," "," "
"","","","","","","","","","","","","","","","","","","290","4023101024","S BALLENGER HWY","0","S","BALLENGER HWY","48532","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","8"," ","CITY MISC","Public","000","City Owned","RW","4023101024","40-23-101-024"," "," "," "," "," ","003600","3","0.6711","City Corridor"," "
"","","","","","","","","","","","","","","","","","","291","4732151001","N DORT HWY","0","N","DORT HWY","48505","MICH STATE HWY COMM","N DORT HWY","FLINT","MI","48505","MICH STATE HWY COMM","N DORT HWY","FLINT","MI","48505","0","1","0","ROW","3","13","STATE ROAD","Public","000","State Owned","RW","4732151001","47-32-151-001"," "," "," "," "," ","980100","1","0"," "," "
"","","","","","","","","","","","","","","","","","","292","4023102027","S BALLENGER HWY","0","S","BALLENGER HWY","48532","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","8"," ","CITY MISC","Public","000","City Owned","RW","4023102027","40-23-102-027"," "," "," "," "," ","003600","3","0.6711"," "," "
"","","","","","","","","","","","","","","","","","","293","4118137016","LIBERTY ST","0"," ","LIBERTY ST","48503","MICH STATE HWY COMM","LIBERTY ST","FLINT","MI","48503","MICH STATE HWY COMM","LIBERTY ST","FLINT","MI","48503","0","1","0","ROW","7"," ","STATE ROAD","Public","000","State Owned","RW","4118137016","41-18-137-016"," "," "," "," "," ","002800","2","0.5954"," "," "
"","","","","","","","","","","","","","","","","","","294","4023158026","S BALLENGER HWY","0","S","BALLENGER HWY","48532","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","8"," ","CITY MISC","Public","000","City Owned","RW","4023158026","40-23-158-026"," "," "," "," "," ","003600","4","0.4563"," "," "
"","","","","","","","","","","","","","","","","","","295","4023153023","S BALLENGER HWY","0","S","BALLENGER HWY","48532","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","8"," ","CITY MISC","Public","000","City Owned","RW","4023153023","40-23-153-023"," "," "," "," "," ","003600","4","0.4563"," "," "
"","","","","","","","","","","","","","","","","","","296","4025285028","W HEMPHILL RD","0","W","HEMPHILL RD","48507","BD OF CO ROAD COMM","211 OAKLEY ST","FLINT","MI","48503","BD OF CO ROAD COMM","211 OAKLEY ST","FLINT","MI","48503","0","1","0","ROW","8"," ","COUNTY","Public","000","Privately Owned","RW","4025285028","40-25-285-028"," "," "," "," "," ","013500","3","0.6692"," "," "
"","","","","","","","","","","","","","","","","","","297","4023151029","S BALLENGER HWY","0","S","BALLENGER HWY","48532","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","8"," ","CITY MISC","Public","000","City Owned","RW","4023151029","40-23-151-029"," "," "," "," "," ","003600","4","0.4563"," "," "
"","","","","","","","","","","","","","","","","","","298","4023107028","S BALLENGER HWY","0","S","BALLENGER HWY","48532","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","A-2","8"," ","CITY MISC","Public","000","City Owned","RW","4023107028","40-23-107-028"," "," "," "," "," ","003600","3","0.6711"," "," "
"","","","","","","","","","","","","","","","","","","299","4732235007","WESTERN RD","0"," ","WESTERN RD","48506","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","4"," ","CITY MISC","Public","000","City Owned","RW","4732235007","47-32-235-007"," "," "," "," "," ","001900","3","0.6471"," "," "
"","","","","","","","","","","","","","","","","","","300","4118431029","LAPEER ST","0"," ","LAPEER ST","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4118431029","41-18-431-029"," "," "," "," "," ","002900","2","0.6596"," "," "
"","","","","","","","","","","","","","","","","","","301","4106228057","ST JOHN PKWY","0"," ","ST JOHN PKWY","48505","MICHIGAN DEPT OF TRANSPORTATION","ST JOHN PKWY","FLINT","MI","48505","MICHIGAN DEPT OF TRANSPORTATION","ST JOHN PKWY","FLINT","MI","48505","0","1","0","ROW","3","18","STATE ROAD","Public","000","State Owned","RW","4106228057","41-06-228-057"," "," "," "," "," ","980100","1","0"," "," "
"","","","","","","","","","","","","","","","","","","302","4105457001","BROADWAY BLVD","0"," ","BROADWAY BLVD","48506","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","4"," ","CITY MISC","Public","000","City Owned","RW","4105457001","41-05-457-001"," "," "," "," "," ","002300","1","0.6019"," "," "
"","","","","","","","","","","","","","","","","","","303","4107152050","CORNELIA ST","0"," ","CORNELIA ST","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","C-1","5"," ","COUNTY","Public","935","City Owned","RW","4107152050","41-07-152-050"," "," "," "," "," ","013600","1","0.6818"," "," "
"","","","","","","","","","","","","","","","","","","304","4012409008","MASON ST","0"," ","MASON ST","48503","RIVERSIDE INVESTMENT","302 W WATER ST","FLINT","MI","48503","TERCHA, LARRY","16398 OAKHILL DR","FENTON","MI","48430","0","0","100","C-2","5"," ","TAXABLE","Commercial","933","Privately Owned","CV","4012409008","40-12-409-008"," ","Good"," "," "," ","001400","3","0.7987","University Avenue Core","UC"
"","","","","","","","","","","","","","","","","","","305","4013351012","CORUNNA RD","0"," ","CORUNNA RD","48503","KJOLLER, EDWARD & WF ELEANOR","2715 COVENTRY CT","FLINT","MI","48503","KJOLLER, EDWARD & WF ELEANOR","2715 COVENTRY CT","FLINT","MI","48503","0","0","100","D-6","8"," ","TAXABLE","Commercial","933","Privately Owned","CV","4013351012","40-13-351-012"," "," "," "," "," ","003700","2","0.7012","Traditional Neighborhood","TN-2"
"","","","","","","","","","","","","","","","","","","306","4011227044","STOCKDALE ST","0"," ","STOCKDALE ST","48504","GENESEE COUNTY LAND BANK","452 S SAGINAW ST 2ND FLR","FLINT","MI","48502","GENESEE COUNTY LAND BANK","452 S SAGINAW ST 2ND FLR","FLINT","MI","48502","0","1","0","D-3","5"," ","COUNTY","Commercial","908","Land Bank Owned","CV","4011227044","40-11-227-044"," "," "," "," "," ","000900","5","0.6014","Neighborhood Center","NC"
"","","","","","","","","","","","","","","","","","","307","4105355019","2004 LEWIS ST","2004"," ","LEWIS ST","48506","GENESEE COUNTY LAND BANK","452 S SAGINAW ST 2ND FLR","FLINT","MI","48502","GENESEE COUNTY LAND BANK","452 S SAGINAW ST 2ND FLR","FLINT","MI","48502","0","1","0","D-3","5","31","COUNTY","Commercial","901","Land Bank Owned","CI","4105355019","41-05-355-019"," ","Structurally Deficient"," "," "," ","002200","5","0.7118","Green Neighborhood","GN-1"
"","","","","","","","","","","","","","","","","","","308","4626476043","W RIDGEWAY AVE","0","W","RIDGEWAY AVE","48505","GENESEE COUNTY LAND BANK","452 S SAGINAW ST 2ND FLR","FLINT","MI","48502","GENESEE COUNTY LAND BANK","452 S SAGINAW ST 2ND FLR","FLINT","MI","48502","0","1","0","A-2","2","7","COUNTY","Public","170","Land Bank Owned","RV","4626476043","46-26-476-043","Vacant Lot"," "," "," "," ","000300","2","0.4752","Traditional Neighborhood","TN-2"
"","","","","","","","","","","","","","","","","","","309","4108451007","LAFAYETTE ST","0"," ","LAFAYETTE ST","48503","GOETZ, RUDOLF & WF CAROLYN","501 LAFAYETTE ST","FLINT","MI","48503","GOETZ, RUDOLF & WF CAROLYN","501 LAFAYETTE ST","FLINT","MI","48503","100","0","100","A-2","7"," ","TAXABLE","Public","395","Privately Owned","RV","4108451007","41-08-451-007","Vacant Lot"," "," "," "," ","003000","1","0.2606","Traditional Neighborhood","TN-2"
"","","","","","","","","","","","","","","","","","","310","4635381019","BROWNELL BLVD","0"," ","BROWNELL BLVD","48504","GENESEE COUNTY LAND BANK","452 S SAGINAW ST 2ND FLR","FLINT","MI","48502","GENESEE COUNTY LAND BANK","452 S SAGINAW ST 2ND FLR","FLINT","MI","48502","0","1","0","A-2","2","10","COUNTY","Public","183","Land Bank Owned","RV","4635381019","46-35-381-019","Vacant Lot"," "," "," "," ","000700","4","0.665","Traditional Neighborhood","TN-2"
"","","","","","","","","","","","","","","","","","","311","4012259020","SEVENTH AVE","0"," ","SEVENTH AVE","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","C-1","5"," ","CITY MISC","Public","330","City Owned","RV","4012259020","40-12-259-020","Vacant Lot"," "," "," "," ","001400","3","0.7987","Traditional Neighborhood"," "
"","","","","","","","","","","","","","","","","","","312","4014484042","CORUNNA RD","0"," ","CORUNNA RD","48503","MICHIGAN DEPT OF TRANSPORTATION","P O BOX 30050","LANSING","MI","48909","MICHIGAN DEPT OF TRANSPORTATION","P O BOX 30050","LANSING","MI","48909","0","1","0","ROW","8"," ","STATE ROAD","Public","000","State Owned","RV","4014484042","40-14-484-042","Vacant Lot"," "," "," "," ","003700","1","0.4697","Traditional Neighborhood","TN-2"
"","","","","","","","","","","","","","","","","","","313","4013401008","GLENWOOD AVE","0"," ","GLENWOOD AVE","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","D-3","8"," ","CITY MISC","Public","000","City Owned","RV","4013401008","40-13-401-008","Vacant Lot"," "," "," "," ","003700","3","0.45","University Avenue Core","UC"
"","","","","","","","","","","","","","","","","","","314","4014301033","S BALLENGER HWY","0","S","BALLENGER HWY","48501","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","6"," ","CITY MISC","Public","000","City Owned","RV","4014301033","40-14-301-033","Vacant Lot"," "," "," "," ","001600","4","0.3231","Traditional Neighborhood","TN-2"
"","","","","","","","","","","","","","","","","","","315","4014351025","S BALLENGER HWY","0","S","BALLENGER HWY","48532","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","8"," ","CITY MISC","Public","000","City Owned","RV","4014351025","40-14-351-025","Vacant Lot"," "," "," "," ","003600","2","0.7188","Traditional Neighborhood","TN-2"
"","","","","","","","","","","","","","","","","","","316","4015435019","W COURT ST","0","W","COURT ST","48532","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","6"," ","CITY MISC","Public","450","City Owned","RV","4015435019","40-15-435-019","Vacant Lot"," "," "," "," ","001600","4","0.3231","Traditional Neighborhood","TN-2"
"","","","","","","","","","","","","","","","","","","317","4014484048","CORUNNA RD","0"," ","CORUNNA RD","48503","MICHIGAN DEPT OF TRANSPORTATION","P O BOX 30050","LANSING","MI","48909","MICHIGAN DEPT OF TRANSPORTATION","P O BOX 30050","LANSING","MI","48909","0","1","0","ROW","8"," ","STATE ROAD","Public","000","State Owned","RV","4014484048","40-14-484-048","Vacant Lot"," "," "," "," ","003700","1","0.4697","Traditional Neighborhood","TN-2"
"","","","","","","","","","","","","","","","","","","318","4635381022","BROWNELL BLVD","0"," ","BROWNELL BLVD","48504","GENESEE COUNTY LAND BANK","452 S SAGINAW ST 2ND FLR","FLINT","MI","48502","GENESEE COUNTY LAND BANK","452 S SAGINAW ST 2ND FLR","FLINT","MI","48502","0","1","0","A-2","2","10","COUNTY","Public","183","Land Bank Owned","RV","4635381022","46-35-381-022","Vacant Lot"," "," "," "," ","000700","4","0.665","Traditional Neighborhood","TN-2"
"","","","","","","","","","","","","","","","","","","319","4118329028","S GRAND TRAVERSE","0","S","GRAND TRAVERSE","48502","MICH STATE HWY COMM","S GRAND TRAVERSE","FLINT","MI","48502","MICH STATE HWY COMM","S GRAND TRAVERSE","FLINT","MI","48502","0","1","0","ROW","9"," ","STATE ROAD","Public","000","State Owned","RV","4118329028","41-18-329-028","Vacant Lot"," "," "," "," ","002800","1","0.8833"," "," "
